system:index,histogram,shapeGroup,shapeType
2001_01_01_00000000000000000000,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 234298.16862745097], [8.0, 0.0], [9.0, 5778.15294117647], [10.0, 461108.3176470591], [11.0, 1256.2823529411764], [12.0, 261736.39999999997], [13.0, 23671.08235294118], [14.0, 2669.0], [15.0, 0.0], [16.0, 1483189.7098039193], [17.0, 25256.98823529412]]",IRQ,ADM0
2001_01_01_00000000000000000001,"[[1.0, 3575.98431372549], [2.0, 18879.533333333333], [3.0, 8.109803921568627], [4.0, 1382.5372549019603], [5.0, 24893.94901960781], [6.0, 1.0], [7.0, 3.0], [8.0, 20834.176470588234], [9.0, 353295.8901960788], [10.0, 245138.9803921568], [11.0, 10434.14901960785], [12.0, 27928.207843137257], [13.0, 4870.235294117647], [14.0, 53002.3294117647], [15.0, 0.0], [16.0, 30.266666666666666], [17.0, 13371.866666666781]]",IRL,ADM0
2001_01_01_00000000000000000002,"[[1.0, 8572.30980392157], [2.0, 0.0], [3.0, 2200.0901960784317], [4.0, 22922.12941176471], [5.0, 87697.3294117647], [6.0, 25099.431372549025], [7.0, 89442.85882352942], [8.0, 49945.31764705884], [9.0, 132279.66274509794], [10.0, 2.0328479847058825E7], [11.0, 123497.23137254901], [12.0, 1390877.23137255], [13.0, 33464.46666666667], [14.0, 16034.568627450979], [15.0, 9243.729411764707], [16.0, 1768157.1411764673], [17.0, 560225.0666666669]]",KAZ,ADM0
2001_01_01_00000000000000000003,"[[1.0, 6.3843137254901965], [2.0, 30308.666666666657], [3.0, 0.0], [4.0, 1252.7882352941178], [5.0, 685.356862745098], [6.0, 29659.84705882355], [7.0, 426576.5529411773], [8.0, 13916.101960784312], [9.0, 144086.70588235286], [10.0, 1403185.4431372616], [11.0, 5014.364705882361], [12.0, 70218.02352941177], [13.0, 2166.286274509804], [14.0, 91118.25098039211], [15.0, 0.0], [16.0, 101626.95686274512], [17.0, 44001.50196078431]]",KEN,ADM0
2001_01_01_00000000000000000004,"[[1.0, 519.6431372549018], [2.0, 0.0], [3.0, 181.66274509803918], [4.0, 283746.03137254895], [5.0, 115937.88235294116], [6.0, 0.0], [7.0, 12.0], [8.0, 98997.93333333333], [9.0, 13595.141176470599], [10.0, 50223.831372549015], [11.0, 3427.3764705882377], [12.0, 225175.3764705881], [13.0, 15577.84313725491], [14.0, 24566.611764705885], [15.0, 0.0], [16.0, 286.78431372549016], [17.0, 4594.309803921562]]",PRK,ADM0
2001_01_01_00000000000000000005,"[[1.0, 3088.356862745098], [2.0, 238.8], [3.0, 106.97254901960784], [4.0, 179443.2941176471], [5.0, 72618.23529411765], [6.0, 4.0], [7.0, 0.0], [8.0, 134816.1058823529], [9.0, 15924.309803921598], [10.0, 13024.572549019618], [11.0, 6103.552941176475], [12.0, 128698.59607843138], [13.0, 34974.24313725486], [14.0, 15081.392156862747], [15.0, 0.0], [16.0, 161.00784313725495], [17.0, 6907.576470588194]]",KOR,ADM0
2001_01_01_00000000000000000006,"[[1.0, 208.36078431372547], [2.0, 0.0], [3.0, 0.01568627450980392], [4.0, 10225.47450980392], [5.0, 1079.2588235294115], [6.0, 0.0], [7.0, 0.0], [8.0, 14545.427450980376], [9.0, 24129.145098039236], [10.0, 11642.003921568621], [11.0, 52.0], [12.0, 13123.90980392157], [13.0, 1046.4549019607844], [14.0, 4440.243137254902], [15.0, 0.0], [16.0, 0.0], [17.0, 6.0]]",XKX,ADM0
2001_01_01_00000000000000000007,"[[1.0, 1664.3803921568629], [2.0, 0.0], [3.0, 7.984313725490196], [4.0, 95259.31372549018], [5.0, 5497.411764705883], [6.0, 0.0], [7.0, 0.0], [8.0, 105312.71372549019], [9.0, 49996.862745098035], [10.0, 11081.96862745098], [11.0, 3640.803921568627], [12.0, 198432.14509803915], [13.0, 14274.870588235295], [14.0, 115616.76078431377], [15.0, 0.0], [16.0, 8.0], [17.0, 3081.3960784313713]]",SRB,ADM0
2001_01_01_00000000000000000008,"[[1.0, 4.419607843137254], [2.0, 326.3333333333333], [3.0, 0.0], [4.0, 0.0], [5.0, 1.0], [6.0, 0.0], [7.0, 0.0], [8.0, 135.17254901960783], [9.0, 132.89803921568625], [10.0, 174.87058823529412], [11.0, 786.7921568627451], [12.0, 6.184313725490196], [13.0, 0.788235294117647], [14.0, 1.0980392156862746], [15.0, 0.0], [16.0, 63.67058823529411], [17.0, 149.73725490196088]]",SYC,ADM0
2001_01_01_00000000000000000009,"[[1.0, 23.372549019607842], [2.0, 23539.0862745098], [3.0, 0.0], [4.0, 597.2745098039215], [5.0, 240.11372549019606], [6.0, 0.0], [7.0, 1.0], [8.0, 91328.05882352941], [9.0, 113103.14509803924], [10.0, 4660.7058823529405], [11.0, 11969.109803921567], [12.0, 2555.223529411765], [13.0, 704.1372549019608], [14.0, 48400.60784313728], [15.0, 0.0], [16.0, 10.094117647058823], [17.0, 854.8784313725494]]",SLE,ADM0
